                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     77,                 0.8722,                0.72749,                 1.4414,                0.89401,                  0.875,                0.93662,                0.79325,                0.69032,                0.62452,                 1.3944,              0.0004952,              0.0004952,              0.0004952
                     78,                0.84253,                0.69553,                 1.4209,                0.96755,                  0.875,                 0.9406,                0.79932,                0.68297,                0.62081,                 1.3776,              0.0004754,              0.0004754,              0.0004754
                     79,                0.87658,                0.73528,                 1.4445,                0.93196,                 0.8875,                0.95726,                0.80051,                0.66289,                0.59338,                 1.3658,              0.0004556,              0.0004556,              0.0004556
                     80,                0.83696,                0.70373,                 1.4059,                0.93298,                   0.85,                0.94352,                0.78898,                0.69419,                0.58261,                 1.3867,              0.0004358,              0.0004358,              0.0004358
                     81,                0.79532,                0.66645,                 1.3584,                0.96264,                  0.875,                0.94475,                 0.8136,                0.66642,                0.55578,                 1.3772,               0.000416,               0.000416,               0.000416
                     82,                0.83437,                0.65436,                  1.389,                0.92221,                    0.9,                 0.9491,                0.81681,                0.67598,                 0.5575,                  1.391,              0.0003962,              0.0003962,              0.0003962
                     83,                0.80033,                0.65851,                 1.3947,                0.92283,                 0.8969,                0.94975,                0.78674,                0.71943,                0.55598,                 1.4179,              0.0003764,              0.0003764,              0.0003764
                     84,                 0.8426,                0.64318,                 1.4208,                0.93218,                    0.9,                0.94168,                0.79315,                0.68976,                0.55132,                 1.4252,              0.0003566,              0.0003566,              0.0003566
                     85,                0.81113,                0.67555,                 1.4087,                0.95619,                 0.9125,                0.96536,                0.82016,                0.61133,                0.53369,                 1.3143,              0.0003368,              0.0003368,              0.0003368
                     86,                0.79733,                0.65176,                 1.4102,                0.94286,                 0.8875,                0.95346,                0.79514,                0.70053,                0.54707,                 1.4096,               0.000317,               0.000317,               0.000317
                     87,                0.71281,                0.59415,                 1.3473,                0.95575,                 0.8875,                0.95178,                0.81897,                0.63677,                 0.5283,                 1.3564,              0.0002972,              0.0002972,              0.0002972
                     88,                0.74573,                0.61382,                 1.3583,                0.95746,                 0.9125,                0.95516,                0.82412,                  0.646,                0.50694,                 1.3606,              0.0002774,              0.0002774,              0.0002774
                     89,                0.82577,                0.67449,                 1.3932,                0.91346,                0.92363,                0.95488,                 0.8305,                0.64276,                 0.5323,                  1.345,              0.0002576,              0.0002576,              0.0002576
                     90,                0.80211,                 0.6385,                 1.4104,                0.92464,                 0.9203,                0.94898,                 0.8215,                0.61649,                0.52445,                 1.3067,              0.0002378,              0.0002378,              0.0002378
                     91,                0.62466,                0.61359,                 1.2145,                0.94766,                0.90532,                0.95155,                0.81998,                  0.615,                0.51702,                 1.3073,               0.000218,               0.000218,               0.000218
                     92,                0.61705,                0.56382,                 1.2352,                0.94796,                0.91075,                0.95786,                0.82157,                0.64224,                0.50193,                 1.3361,              0.0001982,              0.0001982,              0.0001982
                     93,                0.64033,                0.56978,                 1.2345,                0.94854,                 0.9217,                0.95569,                0.82651,                0.61851,                0.48553,                 1.3061,              0.0001784,              0.0001784,              0.0001784
                     94,                 0.6053,                0.54072,                 1.2171,                0.94478,                  0.925,                0.95491,                0.81814,                0.63866,                0.48352,                 1.3221,              0.0001586,              0.0001586,              0.0001586
                     95,                0.60697,                0.54403,                 1.1965,                0.92564,                0.93363,                0.95566,                0.82806,                0.61328,                0.48604,                 1.3094,              0.0001388,              0.0001388,              0.0001388
                     96,                0.58162,                0.51965,                 1.2068,                0.91662,                 0.9125,                 0.9546,                0.82948,                0.61997,                0.49405,                 1.3281,               0.000119,               0.000119,               0.000119
                     97,                0.57786,                0.51368,                 1.2049,                0.94435,                 0.8875,                0.95923,                0.83871,                0.59088,                 0.4735,                 1.2915,               9.92e-05,               9.92e-05,               9.92e-05
                     98,                0.55578,                0.50109,                 1.1626,                0.94726,                0.89803,                0.95639,                0.82561,                0.62318,                0.47345,                 1.3173,               7.94e-05,               7.94e-05,               7.94e-05
                     99,                0.57577,                0.49994,                 1.2122,                0.94263,                    0.9,                0.95531,                0.82434,                0.62278,                0.47397,                 1.3263,               5.96e-05,               5.96e-05,               5.96e-05
                    100,                0.56841,                0.49261,                 1.1555,                0.94577,                    0.9,                 0.9541,                 0.8389,                0.59204,                0.47329,                 1.2934,               3.98e-05,               3.98e-05,               3.98e-05
